id,archivo_nuevo,archivo_original,n_copias,anio,autor_principal,pais,titulo,tipo,tipo_desc,tecnologia,dominio,poblacion,relacion,relacion_desc,keywords,doi,abstract
001,2023_Torres_school-engagement-ICT.pdf,(13)+24050-Texto+del+artículo-102906-1-10-20230326.pdf,1,2023,Torres,Colombia,Compromiso escolar y TIC: una revisión sistemática de literatura,RS,Revision sistematica,TIC,educación general,adolescentes,C,C - Metodo/Contexto,"collaboration, ICT skills, interaction, school engagement, learning goals.",10.30827/profesorado.v27i1.24050,"It is remarkable the lack of interest and motivation that occurs during adolescence, especially in matters related to school, which generates later dropout problems and low academic performance, especially in developing countries. Regarding this, school engagement becomes a matter of great interest for educational researchers and practitioners, especially at a time when Information and Communication Technologies (ICT) conditions the relationship of adolescents with the school. To increase the understanding of this phenomenon, a systematic literature review was conducted with the purpose of identifying aspects of the use of ICT in school engagement strengthening. Results highlight the collaborative activities, active student participation and ICT pedagogy, and skills development as the main enablers of the increase of their confidence and learning goals achievement. "
002,2023_Apaydinli_AR-music-education.pdf,10.31681-jetol.1243501-2921907.pdf,1,2023,Apaydinli,Turquia,Content analysis of music education studies related to augmented reality technology,BIB,Analisis bibliometrico,realidad aumentada,educación musical / instrumento,principiantes,B,B - Relevante,"Music Education, Instrument Education, Augmented Reality, Education 4.0",10.31681/jetol.1243501,"• Augmented reality used in music education studies scanned Wos and Scopus from 2006 to 2020 was examined. • The studies utilizing AR technology were primarily focused on instrument education, in particular, piano and guitar training for beginner students. • It was concluded that AR applications used in music education accelerated learning, enabled to be more effective and enjoyable than traditional methods. Article Info: Research Article "
003,2024_Fadillah_inquiry-based-learning-trends.pdf,10666-Article Text-26656-1-10-20241229.pdf,1,2024,Fadillah,Indonesia,One Decade of Inquiry-Based Learning in,BIB,Analisis bibliometrico,método bibliométrico,educación en ciencias,general,C,C - Metodo/Contexto,"Inquiry-Based Learning, Bibliometrics, Publication Trends, Scopus.",,"Received: 26 November 2024 The popularity of Inquiry-Based Learning (IBL) has continued to increase Revised: 30 November 2024 in the last decade, as reflected in the growing number of academic Accepted: 13 December 2024 publications examining its implementation and impact across various disciplines. This study aims to analyze publication trends and hot topics related to IBL over the past decade using a bibliometric approach. A total of 236 Scopus-indexed documents were analyzed. The analysis showed a significant increase in the number of IBL publications and citations. Indonesia dominates the research contributions, indicating successful educational reforms that support the adoption of IBL. Physics and Astronomy were the disciplines that adopted this approach the most, followed by Social Sciences. Keyword analysis identified four main themes that were being discussed: attitude, character, cognitive style, and metacognition. The findings show the importance of a holistic approach to IBL learning, which includes both cognitive and non-cognitive dimensions. This study concludes that IBL is an effective pedagogical approach that continues to evolve. Further research is recommended to explore the integration of these key themes within a more inclusive IBL framework, as well as cross-cultural applications, to support more relevant and meaningful learning. "
004,2025_Zeng_ICH-fine-arts-curriculum.pdf,112618.pdf,1,2025,Zeng,Malasia,Intangible Cultural Heritage in Fine Arts Curriculum in Chinese Secondary School: A Systematic Literature Review,RS,Revision sistematica,—,educación artística,secundaria,C,C - Metodo/Contexto,"Fine Arts Education in Chinese Secondary School, Fine Arts Curriculum, Intangible Cultural Heritage, Pre-Service Teacher Education.",10.24191/ajue.v21i1.5563,": In recent years, Intangible Cultural Heritage (ICH) has received widespread attention as an expression of cultural diversity and a representation for maintaining national cultural identities. It has been widely used as a resource for teaching and learning in the curriculum. China, being one of the countries with the largest repository of intangible cultural heritage, has attracted the interest of educators in many regions to this endangered yet rich and brilliant heritage. As curriculum resource research has emerged, the study of ICH as a curriculum resource has gradually become a popular topic in education research across various disciplines, including fine arts education. Although there is extensive literature exploring the application of ICH in fine arts education in secondary schools in China, there is no systematic review that summarizes these teaching methods and practices. Therefore, this research aims to explore the pedagogical applications of ICH in the fine arts curriculum in secondary schools in China, identifying the current types of ICH as course resources, curriculum designs, teaching methods and practices, future challenges as well as potential recommendations, and research perspectives. Utilizing the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) methodology, an exhaustive search was conducted across three multidisciplinary databases from 2019 to 2023 with specified inclusion and exclusion criteria. This systematic review further"
005,2026_Saad_digital-transformation-HE.pdf,134796.pdf,1,2026,Saad,Malasia,"ESTEEM Journal of Social Sciences and Humanities Vol 10, April 2026, 60-79",RS,Revision sistematica,transformación digital,educación superior,universitario,C,C - Metodo/Contexto,Impact Digital transformation Higher education PRISMA SLR,10.24191/ejssh.v10i1.9201,"Digital transformation has emerged as a pivotal force in reshaping higher education, redefining pedagogical approaches, institutional governance, and the student learning experience. Despite its widespread adoption, implementation outcomes remain inconsistent due to varying degrees of technological infrastructure, strategic alignment, and digital competence across institutions. This study presents a systematic literature review that investigates the impact of digital transformation in higher education, with a focus on pedagogical innovation, organizational readiness, and technological integration. The review was guided by key questions that explored the institutional and educational impacts of digital transformation in higher education, examined the barriers and enabling factors that shape the effectiveness of digital initiatives, and investigated how outcomes differ across various institutional types and regional contexts. Using an advanced search protocol within the Scopus database, 39 peer-reviewed articles published between 2020 and 2024 were selected based on predefined inclusion criteria. The PRISMA framework was employed to ensure transparency and replicability, and thematic synthesis was used to extract and interpret findings across heterogeneous study designs. The synthesis revealed three dominant themes: institutional readiness and governance (38%), technological and pedagogical innovation (34%), and challenges of digital equity and infrastructure (28%). Findings in"
006,2024_Larasati_traditional-music-Asia.pdf,14983-34130-2-PB.pdf,1,2024,Larasati,Indonesia,Bibliometric analysis of 20 years of traditional music research trends in Asia: 2004-2024,BIB,Analisis bibliometrico,VOSviewer / Biblioshiny,música tradicional,general,C,C - Metodo/Contexto,Traditional music; Asian studies; Bibliometric analysis; Scopus,10.24821/resital.v25i3.14983,": This study aims to explore and evaluate research on traditional music in Asia 20 years, based on data obtained from the Scopus database. Employing a descriptive qualitative approach, the study utilizes bibliometric analysis with the aid of VOSviewer and Biblioshiny software to examine patterns, trends, and developments in traditional music research as reﬂected in Scopus. Based on the analysis of 1,872 documents collected from the Scopus database, the Asian-European Music Research Journal has been the most consistent source in publishing studies on traditional music. The subject area of Social Sciences appears most frequently and is the most commonly associated discipline in studies of traditional music in Asia 20 years. However, these studies have not yet adequately interpreted or responded to the aesthetic and ethical transformations of traditional music in the era of globalization. This shortcoming continues to raise various issues related to cultural context, musical instruments, performance styles, and social functions. This study's importance resides in its contribution to the advancement of traditional music research, and it furnishes a primary point of reference for ensuing academic discourse regarding elements and effects of aesthetic and ethic shifts in global traditional music. "
007,2026_Ratnasari_language-audio-music-AI.pdf,15564-Article Text-75118-1-10-20260330.pdf,1,2026,Ratnasari,Indonesia,"Language as the Semantic Bridge in Audio, Music, and Multimodal Artificial Intelligence: A Systematic Review",RS,Revision sistematica,IA multimodal / NLP,audio y música (IA),general,B,B - Relevante,Systematic Literature Review; PRISMA Framework; Audio and Music Artificial Intelligence; Natural Language Processing; Multimodal Integration,10.12928/biste.v8i2.15564,Article History: Received 08 December 2025 Revised 04 March 2026 Accepted 30 March 2026 
008,2024_Arruti_music-education-gifted.pdf,16-LEEME+54(2024)+LEEME-432.pdf,1,2024,Arruti,España,Beneficios de la Educación Musical en el Desarrollo del Alumnado con Altas,RS,Revision sistematica,—,educación musical,alumnado altas capacidades,C,C - Metodo/Contexto,"s: Educación Musical, Talento, Desarrollo Intelectual, Enriquecimiento.",10.58262/LEEME.54.0016,"El alumnado con altas capacidades intelectuales (ACI) enfrenta desafíos significativos en el entorno educativo que exige soluciones personalizadas. La Educación Musical (EM), por su parte, resulta una estrategia integral que promueve el desarrollo cognitivo, social y emocional del alumnado. Este trabajo propone una revisión sistemática, siguiendo la declaración PRISMA, para analizar los beneficios de la EM en el desarrollo del alumnado con ACI. Los criterios de inclusión recogen (1) intervenciones en EM (2) que promueven el desarrollo cognitivo, intelectual, personal, emocional, el bienestar y el rendimiento académico (3) del alumnado con ACI. Se hallaron un total de 23 artículos, que se analizaron a través de Atlas.Ti (versión 9.02). El estudio ha constatado que la EM es una herramienta eficaz que modula la expresión de la alta capacidad y presenta múltiples beneficios. Por tanto, se ha de continuar profundizando en la EM como oportunidad educativa para el alumnado con ACI, en cuanto que fomenta una educación de calidad, inclusiva y equitativa que responde a sus necesidades. También se abre paso la necesidad de promover el desarrollo profesional docente en el ámbito musical para maximizar el aprendizaje y crecimiento integral del alumnado con ACI. "
009,2026_Hasfindra_ML-music-industry.pdf,1746-Article Text-7716-1-10-20260705.pdf,1,2026,Hasfindra,Indonesia,ANALISIS KELAYAKAN PENERAPAN MACHINE LEARNING PADA INDUSTRI MUSIK,RS,Revision sistematica,machine learning,industria musical / educación,general,B,B - Relevante,"Machine Learning, Music Industry, Feasibility, Copyright, Systematic Literature Review (SLR)",,"The application of machine learning (ML) has transformed the music industry, offering efficiencies in music generation, genre classification, vocal training, and music education. However, this vast potential is countered by fundamental challenges, including dataset bias, legal issues surrounding Artificial Intelligence (AI) copyright, ethical challenges related to algorithmic transparency, and accessibility barriers for independent musicians. This literature review aims to assess the feasibility of ML solutions in the music industry through a comprehensive analysis of technical, legal, ethical, and economic aspects. The method used is a Systematic Literature Review (SLR) guided by the PRISMA framework, involving a thematic analysis of 29 scientific articles that passed the selection and quality assessment process. The results demonstrate that ML is proven efficient in improving the accuracy of music generation (83-90%), genre classification performance, and personalized vocal learning experiences. Nevertheless, full feasibility is hindered by data bias issues (the dominance of Western music datasets), ambiguity in copyright regulations for AI generated music, computational costs, and a lack of model transparency. In conclusion, current ML implementation is feasible within specific contexts, such as educational institutions and large platforms with adequate infrastructure. Future prospects require the development of more representative datasets, transparent models, and clear r"
010,2025_Liu_chinese-folk-music-digital.pdf,17607-41517-1-PB.pdf,1,2025,Liu,Tailandia,Evolving trends of Chinese folk music and performing arts management in the digital age: a bibliometric analysis of Scopus-indexed articles published between 2013 and 2024,BIB,Analisis bibliometrico,método bibliométrico,música folclórica china,general,C,C - Metodo/Contexto,Chinese folk music; performing arts management; digital transformation; bibliometric analysis; cultural heritage preservation,10.24821/resital.v26i3.17607,": : This bibliometric analysis outlines relevant studies concerning Chinese folk music and performing arts management in the digital era, grounded in Englishlanguage publications indexed in the Scopus database between 2013 and 2024. This period was selected because English-language articles regarding digital approaches to Chinese folk music began to appear consistently during this time and reached a sufﬁcient volume for a systematic bibliometric analysis. This analysis aims to provide insights into the intellectual landscape, the development of various themes, and the digital impact on the management of culture, artistic management, and the preservation of culture. Under the PRISMA protocol, 39 research articles were examined in the Scopus peer-reviewed database. The dataset was limited to Englishlanguage journal articles and conference papers that did not include publications from Chinese-language databases, which deﬁne the scopes and boundaries of the analysis. Each of the outputs was analyzed using bibliometric mapping, and quantitative publication trends and patterns concerning institutions and authors were complemented with qualitative thematic analysis, resulting in ﬁve thematic clusters. There is a noticeable increase in research results after 2020, aligning with digital cultural policy development in China and the growing use of online platforms for cultural dissemination. Given the relatively small dataset of 39 publications, ﬁndings should be interpreted as a focuse"
